DISTRITO_LOCAL,CLAVE_DEM,DEMARCACIÓN TERRITORIAL,SECCIÓN,TOTAL DE CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,MORENA,ELIGE,PES,RSP,FXM,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,ROP,HAAC,PRMC,ECR,EVFA,AGP,RGS,CNR,VN,VOTACIÓN TOTAL,LISTA NOMINAL
33,8,LA MAGDALENA CONTRERAS,3092,3,193,255,18,12,14,30,308,3,8,2,62,12,0,0,0,3,1,1,7,,,,,,,,0,23,952,1840
33,8,LA MAGDALENA CONTRERAS,3093,3,306,260,16,12,9,25,369,7,12,3,29,15,1,0,0,1,0,0,1,,,,,,,,2,18,1086,1779
33,8,LA MAGDALENA CONTRERAS,3094,3,43,316,12,22,19,7,319,8,7,4,57,12,3,0,2,3,0,1,5,,,,,,,,2,34,876,1663
33,8,LA MAGDALENA CONTRERAS,3095,4,65,352,20,16,31,37,652,5,11,4,27,10,4,0,0,6,0,4,2,,,,,,,,1,31,1278,2617
33,8,LA MAGDALENA CONTRERAS,3097,4,84,550,28,20,30,46,377,6,37,12,23,14,4,0,1,3,0,2,4,,,,,,,,0,32,1273,2495
33,8,LA MAGDALENA CONTRERAS,3098,2,34,185,15,10,17,17,315,4,6,10,19,3,2,0,0,2,4,1,5,,,,,,,,1,24,674,1334
33,8,LA MAGDALENA CONTRERAS,3099,2,47,132,12,11,11,14,247,10,35,7,13,5,1,1,0,2,1,0,3,,,,,,,,1,20,573,1314
33,8,LA MAGDALENA CONTRERAS,3100,2,47,139,9,11,13,12,205,8,14,2,18,8,1,0,0,2,0,1,1,,,,,,,,1,15,507,957
33,8,LA MAGDALENA CONTRERAS,3101,1,86,99,10,6,1,9,126,1,6,0,1,3,3,0,0,0,0,0,0,,,,,,,,0,9,360,542
33,8,LA MAGDALENA CONTRERAS,3102,2,36,109,12,11,23,16,262,4,23,7,9,6,0,0,0,0,0,0,0,,,,,,,,0,21,539,1140
33,8,LA MAGDALENA CONTRERAS,3103,2,69,102,12,8,6,16,206,5,14,9,4,2,3,0,0,2,0,1,2,,,,,,,,3,10,474,862
33,8,LA MAGDALENA CONTRERAS,3104,3,57,237,12,14,20,22,452,3,21,2,18,6,1,0,0,1,0,1,3,,,,,,,,1,21,892,1948
33,8,LA MAGDALENA CONTRERAS,3105,2,117,258,5,29,14,18,314,8,13,10,8,12,6,1,0,4,0,2,4,,,,,,,,0,25,848,1496
33,8,LA MAGDALENA CONTRERAS,3106,2,92,198,8,7,10,21,246,1,11,3,18,8,0,0,1,1,1,1,2,,,,,,,,1,17,647,1205
33,8,LA MAGDALENA CONTRERAS,3107,1,1,21,6,2,0,1,20,0,2,1,1,2,0,0,0,0,0,0,0,,,,,,,,0,2,59,143
33,8,LA MAGDALENA CONTRERAS,3108,1,46,120,8,12,13,18,126,4,10,4,8,2,2,0,0,0,0,0,0,,,,,,,,0,12,385,662
33,8,LA MAGDALENA CONTRERAS,3109,3,48,242,19,12,31,25,301,8,14,5,16,11,2,1,1,0,0,4,5,,,,,,,,1,13,759,1665
33,8,LA MAGDALENA CONTRERAS,3110,2,40,142,8,12,4,20,174,5,17,7,11,8,2,0,0,0,0,0,0,,,,,,,,0,13,463,851
33,8,LA MAGDALENA CONTRERAS,3111,2,96,233,12,9,5,17,244,5,12,6,10,10,0,0,1,1,0,1,4,,,,,,,,0,21,687,1037
